# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  28 0.275 2 0.166077
  29 0.285 5 1.32168
  30 0.295 1 0.0830387
  31 0.305 3 1.1556
  32 0.315 3 1.1556
  33 0.325 3 1.1556
  34 0.335 1 0.0830387
  35 0.345 1 0.0830387
  36 0.355 6 1.40471
  37 0.365 2 1.97904
  38 0.375 1 0.989521
  39 0.385 2 1.07256
  40 0.395 4 2.14512
  41 0.405 1 0.0830387
  42 0.415 1 0.0830387
  43 0.425 1 0.0830387
  44 0.435 2 1.07256
  45 0.445 0 0
  46 0.455 3 1.1556
  47 0.465 4 0.332155
  48 0.475 2 0.166077
  49 0.485 3 2.96856
  50 0.495 0 0
  51 0.505 2 1.07256
  52 0.515 0 0
  53 0.525 2 1.07256
  54 0.535 2 0.166077
  55 0.545 2 0.166077
  56 0.555 1 0.0830387
  57 0.565 2 1.07256
  58 0.575 2 1.07256
  59 0.585 5 1.32168
  60 0.595 2 0.166077
  61 0.605 1 0.0830387
  62 0.615 0 0
  63 0.625 2 1.07256
  64 0.635 1 0.0830387
  65 0.645 1 0.989521
  66 0.655 0 0
  67 0.665 2 0.166077
  68 0.675 2 1.07256
  69 0.685 5 2.22816
  70 0.695 1 0.0830387
  71 0.705 1 0.989521
  72 0.715 2 1.07256
  73 0.725 2 0.166077
  74 0.735 2 1.97904
  75 0.745 0 0
  76 0.755 1 0.0830387
  77 0.765 4 0.332155
  78 0.775 1 0.989521
  79 0.785 2 1.07256
  80 0.795 3 1.1556
  81 0.805 3 0.249116
  82 0.815 1 0.0830387
  83 0.825 2 1.07256
  84 0.835 0 0
  85 0.845 1 0.0830387
  86 0.855 0 0
  87 0.865 3 0.249116
  88 0.875 2 1.07256
  89 0.885 3 1.1556
  90 0.895 2 1.07256
  91 0.905 3 2.06208
  92 0.915 0 0
  93 0.925 2 1.07256
  94 0.935 0 0
  95 0.945 3 1.1556
  96 0.955 1 0.989521
  97 0.965 2 0.166077
  98 0.975 4 0.332155
  99 0.985 3 1.1556
  100 0.995 1 0.989521
3000 100 186
  1 0.005 2 1.07785
  2 0.015 2 0.166896
  3 0.025 2 0.166896
  4 0.035 1 0.0834481
  5 0.045 1 0.0834481
  6 0.055 2 0.166896
  7 0.065 4 1.24474
  8 0.075 2 0.166896
  9 0.085 2 1.07785
  10 0.095 1 0.0834481
  11 0.105 0 0
  12 0.115 1 0.0834481
  13 0.125 4 1.24474
  14 0.135 0 0
  15 0.145 4 2.15569
  16 0.155 3 2.07225
  17 0.165 1 0.994399
  18 0.175 1 0.0834481
  19 0.185 1 0.0834481
  20 0.195 0 0
  21 0.205 6 2.32259
  22 0.215 1 0.0834481
  23 0.225 1 0.0834481
  24 0.235 1 0.994399
  25 0.245 4 0.333792
  26 0.255 5 2.23914
  27 0.265 1 0.0834481
  28 0.275 3 1.1613
  29 0.285 5 2.23914
  30 0.295 3 1.1613
  31 0.305 2 0.166896
  32 0.315 2 1.07785
  33 0.325 1 0.0834481
  34 0.335 4 3.06665
  35 0.345 2 1.9888
  36 0.355 2 0.166896
  37 0.365 0 0
  38 0.375 2 1.9888
  39 0.385 1 0.0834481
  40 0.395 3 1.1613
  41 0.405 5 3.15009
  42 0.415 1 0.0834481
  43 0.425 2 0.166896
  44 0.435 1 0.0834481
  45 0.445 2 0.166896
  46 0.455 3 0.250344
  47 0.465 2 1.07785
  48 0.475 1 0.0834481
  49 0.485 2 0.166896
  50 0.495 1 0.0834481
  51 0.505 1 0.0834481
  52 0.515 1 0.994399
  53 0.525 2 1.07785
  54 0.535 0 0
  55 0.545 1 0.0834481
  56 0.555 1 0.0834481
  57 0.565 1 0.0834481
  58 0.575 1 0.994399
  59 0.585 1 0.0834481
  60 0.595 1 0.994399
  61 0.605 2 0.166896
  62 0.615 3 0.250344
  63 0.625 0 0
  64 0.635 1 0.0834481
  65 0.645 1 0.0834481
  66 0.655 4 3.06665
  67 0.665 0 0
  68 0.675 1 0.994399
  69 0.685 2 0.166896
  70 0.695 2 1.07785
  71 0.705 1 0.0834481
  72 0.715 1 0.0834481
  73 0.725 4 1.24474
  74 0.735 1 0.994399
  75 0.745 1 0.0834481
  76 0.755 2 0.166896
  77 0.765 2 1.9888
  78 0.775 3 0.250344
  79 0.785 0 0
  80 0.795 1 0.994399
  81 0.805 2 1.07785
  82 0.815 0 0
  83 0.825 1 0.0834481
  84 0.835 2 0.166896
  85 0.845 3 0.250344
  86 0.855 3 1.1613
  87 0.865 3 2.9832
  88 0.875 3 0.250344
  89 0.885 2 0.166896
  90 0.895 2 0.166896
  91 0.905 5 3.15009
  92 0.915 2 1.9888
  93 0.925 2 0.166896
  94 0.935 0 0
  95 0.945 1 0.0834481
  96 0.955 3 2.07225
  97 0.965 1 0.994399
  98 0.975 1 0.994399
  99 0.985 3 0.250344
  100 0.995 2 1.07785
4000 100 186
  1 0.005 1 0.0808044
  2 0.015 2 0.161609
  3 0.025 2 1.0437
  4 0.035 3 0.242413
  5 0.045 1 0.0808044
  6 0.055 2 0.161609
  7 0.065 2 0.161609
  8 0.075 1 0.0808044
  9 0.085 2 0.161609
  10 0.095 1 0.962897
  11 0.105 1 0.0808044
  12 0.115 1 0.962897
  13 0.125 1 0.0808044
  14 0.135 2 0.161609
  15 0.145 1 0.0808044
  16 0.155 5 2.16821
  17 0.165 1 0.962897
  18 0.175 1 0.0808044
  19 0.185 3 2.0066
  20 0.195 1 0.0808044
  21 0.205 6 1.36692
  22 0.215 1 0.0808044
  23 0.225 3 1.12451
  24 0.235 1 0.0808044
  25 0.245 7 3.21191
  26 0.255 2 0.161609
  27 0.265 1 0.962897
  28 0.275 3 1.12451
  29 0.285 3 2.0066
  30 0.295 1 0.0808044
  31 0.305 2 1.92579
  32 0.315 3 2.0066
  33 0.325 6 3.1311
  34 0.335 3 1.12451
  35 0.345 3 0.242413
  36 0.355 4 0.323218
  37 0.365 3 2.0066
  38 0.375 1 0.962897
  39 0.385 0 0
  40 0.395 4 1.20531
  41 0.405 1 0.0808044
  42 0.415 2 0.161609
  43 0.425 0 0
  44 0.435 2 1.0437
  45 0.445 3 1.12451
  46 0.455 6 1.36692
  47 0.465 2 0.161609
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 1 0.0808044
  52 0.515 0 0
  53 0.525 1 0.962897
  54 0.535 0 0
  55 0.545 3 0.242413
  56 0.555 1 0.962897
  57 0.565 0 0
  58 0.575 1 0.962897
  59 0.585 3 0.242413
  60 0.595 1 0.0808044
  61 0.605 0 0
  62 0.615 1 0.0808044
  63 0.625 2 1.92579
  64 0.635 2 0.161609
  65 0.645 0 0
  66 0.655 0 0
  67 0.665 3 0.242413
  68 0.675 2 1.0437
  69 0.685 2 0.161609
  70 0.695 2 1.0437
  71 0.705 0 0
  72 0.715 0 0
  73 0.725 2 1.92579
  74 0.735 1 0.0808044
  75 0.745 2 1.0437
  76 0.755 3 2.0066
  77 0.765 1 0.0808044
  78 0.775 2 1.0437
  79 0.785 3 0.242413
  80 0.795 2 1.0437
  81 0.805 2 0.161609
  82 0.815 4 1.20531
  83 0.825 1 0.0808044
  84 0.835 0 0
  85 0.845 3 1.12451
  86 0.855 3 1.12451
  87 0.865 3 1.12451
  88 0.875 0 0
  89 0.885 2 0.161609
  90 0.895 1 0.962897
  91 0.905 1 0.0808044
  92 0.915 2 1.0437
  93 0.925 1 0.0808044
  94 0.935 3 0.242413
  95 0.945 2 1.0437
  96 0.955 5 3.93239
  97 0.965 2 1.0437
  98 0.975 2 1.0437
  99 0.985 1 0.962897
  100 0.995 0 0
5000 100 186
  1 0.005 1 0.0840836
  2 0.015 2 1.08606
  3 0.025 1 1.00197
  4 0.035 1 0.0840836
  5 0.045 0 0
  6 0.055 3 1.17014
  7 0.065 4 1.25422
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 3 0.252251
  11 0.105 2 0.168167
  12 0.115 0 0
  13 0.125 5 1.33831
  14 0.135 2 2.00394
  15 0.145 3 1.17014
  16 0.155 0 0
  17 0.165 2 0.168167
  18 0.175 1 1.00197
  19 0.185 1 1.00197
  20 0.195 2 0.168167
  21 0.205 1 1.00197
  22 0.215 6 1.42239
  23 0.225 3 0.252251
  24 0.235 2 2.00394
  25 0.245 2 0.168167
  26 0.255 0 0
  27 0.265 3 2.08803
  28 0.275 3 1.17014
  29 0.285 2 2.00394
  30 0.295 3 0.252251
  31 0.305 0 0
  32 0.315 3 1.17014
  33 0.325 2 1.08606
  34 0.335 1 0.0840836
  35 0.345 5 1.33831
  36 0.355 2 0.168167
  37 0.365 5 1.33831
  38 0.375 0 0
  39 0.385 1 1.00197
  40 0.395 4 3.09
  41 0.405 2 0.168167
  42 0.415 2 1.08606
  43 0.425 1 0.0840836
  44 0.435 3 2.08803
  45 0.445 1 0.0840836
  46 0.455 4 1.25422
  47 0.465 0 0
  48 0.475 1 1.00197
  49 0.485 3 1.17014
  50 0.495 5 1.33831
  51 0.505 1 0.0840836
  52 0.515 1 1.00197
  53 0.525 1 0.0840836
