# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  29 0.285 3 0.326407
  30 0.295 2 1.40533
  31 0.305 3 0.326407
  32 0.315 2 1.40533
  33 0.325 2 0.217605
  34 0.335 3 1.51414
  35 0.345 3 1.51414
  36 0.355 0 0
  37 0.365 2 0.217605
  38 0.375 2 1.40533
  39 0.385 0 0
  40 0.395 1 0.108802
  41 0.405 2 1.40533
  42 0.415 4 2.81067
  43 0.425 0 0
  44 0.435 1 0.108802
  45 0.445 2 1.40533
  46 0.455 0 0
  47 0.465 2 1.40533
  48 0.475 3 1.51414
  49 0.485 2 0.217605
  50 0.495 0 0
  51 0.505 3 1.51414
  52 0.515 3 0.326407
  53 0.525 4 1.62294
  54 0.535 1 0.108802
  55 0.545 3 1.51414
  56 0.555 3 2.70187
  57 0.565 3 2.70187
  58 0.575 0 0
  59 0.585 1 1.29653
  60 0.595 1 0.108802
  61 0.605 2 2.59306
  62 0.615 0 0
  63 0.625 2 0.217605
  64 0.635 3 1.51414
  65 0.645 2 0.217605
  66 0.655 0 0
  67 0.665 2 0.217605
  68 0.675 2 1.40533
  69 0.685 2 0.217605
  70 0.695 2 1.40533
  71 0.705 2 0.217605
  72 0.715 1 0.108802
  73 0.725 3 2.70187
  74 0.735 0 0
  75 0.745 2 1.40533
  76 0.755 3 2.70187
  77 0.765 0 0
  78 0.775 3 1.51414
  79 0.785 3 0.326407
  80 0.795 1 0.108802
  81 0.805 2 0.217605
  82 0.815 1 0.108802
  83 0.825 0 0
  84 0.835 4 1.62294
  85 0.845 1 0.108802
  86 0.855 2 0.217605
  87 0.865 4 2.81067
  88 0.875 2 1.40533
  89 0.885 0 0
  90 0.895 1 0.108802
  91 0.905 2 2.59306
  92 0.915 3 0.326407
  93 0.925 1 1.29653
  94 0.935 0 0
  95 0.945 5 2.91947
  96 0.955 1 0.108802
  97 0.965 3 1.51414
  98 0.975 2 1.40533
  99 0.985 2 2.59306
  100 0.995 2 0.217605
300 100 186
  1 0.005 1 1.22457
  2 0.015 4 0.411055
  3 0.025 4 1.53287
  4 0.035 2 1.32734
  5 0.045 1 0.102764
  6 0.055 0 0
  7 0.065 4 0.411055
  8 0.075 1 0.102764
  9 0.085 1 0.102764
  10 0.095 2 1.32734
  11 0.105 1 1.22457
  12 0.115 1 0.102764
  13 0.125 1 0.102764
  14 0.135 1 0.102764
  15 0.145 1 1.22457
  16 0.155 2 1.32734
  17 0.165 2 1.32734
  18 0.175 3 1.4301
  19 0.185 2 2.44915
  20 0.195 0 0
  21 0.205 2 0.205528
  22 0.215 2 0.205528
  23 0.225 2 1.32734
  24 0.235 2 1.32734
  25 0.245 5 3.87925
  26 0.255 1 0.102764
  27 0.265 1 0.102764
  28 0.275 2 0.205528
  29 0.285 2 0.205528
  30 0.295 1 0.102764
  31 0.305 2 1.32734
  32 0.315 3 1.4301
  33 0.325 1 0.102764
  34 0.335 2 0.205528
  35 0.345 2 0.205528
  36 0.355 3 1.4301
  37 0.365 2 1.32734
  38 0.375 1 1.22457
  39 0.385 1 0.102764
  40 0.395 3 0.308292
  41 0.405 4 2.65468
  42 0.415 1 0.102764
  43 0.425 1 0.102764
  44 0.435 1 1.22457
  45 0.445 1 1.22457
  46 0.455 0 0
  47 0.465 2 1.32734
  48 0.475 3 1.4301
  49 0.485 1 0.102764
  50 0.495 1 0.102764
  51 0.505 2 2.44915
  52 0.515 5 1.63563
  53 0.525 4 0.411055
  54 0.535 4 2.65468
  55 0.545 1 1.22457
  56 0.555 3 0.308292
  57 0.565 1 1.22457
  58 0.575 4 2.65468
  59 0.585 0 0
  60 0.595 2 1.32734
  61 0.605 0 0
  62 0.615 1 0.102764
  63 0.625 2 2.44915
  64 0.635 2 0.205528
  65 0.645 1 0.102764
  66 0.655 1 0.102764
  67 0.665 2 0.205528
  68 0.675 2 1.32734
  69 0.685 3 0.308292
  70 0.695 2 1.32734
  71 0.705 1 0.102764
  72 0.715 3 1.4301
  73 0.725 3 1.4301
  74 0.735 1 1.22457
  75 0.745 2 1.32734
  76 0.755 2 2.44915
  77 0.765 4 0.411055
  78 0.775 1 0.102764
  79 0.785 2 0.205528
  80 0.795 0 0
  81 0.805 0 0
  82 0.815 2 0.205528
  83 0.825 1 0.102764
  84 0.835 2 1.32734
  85 0.845 2 0.205528
  86 0.855 5 3.87925
  87 0.865 1 0.102764
  88 0.875 0 0
  89 0.885 1 0.102764
  90 0.895 3 0.308292
  91 0.905 4 2.65468
  92 0.915 1 1.22457
  93 0.925 1 1.22457
  94 0.935 3 1.4301
  95 0.945 3 2.55191
  96 0.955 1 0.102764
  97 0.965 1 1.22457
  98 0.975 1 0.102764
  99 0.985 2 0.205528
  100 0.995 2 1.32734
400 100 186
  1 0.005 0 0
  2 0.015 2 0.195994
  3 0.025 2 2.33554
  4 0.035 1 0.0979969
  5 0.045 1 1.16777
  6 0.055 1 0.0979969
  7 0.065 0 0
  8 0.075 3 0.293991
  9 0.085 1 0.0979969
  10 0.095 0 0
  11 0.105 1 0.0979969
  12 0.115 3 1.36376
  13 0.125 2 1.26577
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 5 1.55976
  17 0.165 2 1.26577
  18 0.175 2 2.33554
  19 0.185 4 1.46176
  20 0.195 1 1.16777
  21 0.205 1 0.0979969
  22 0.215 2 2.33554
  23 0.225 1 0.0979969
  24 0.235 2 1.26577
  25 0.245 1 0.0979969
  26 0.255 2 0.195994
  27 0.265 3 1.36376
  28 0.275 1 1.16777
  29 0.285 0 0
  30 0.295 3 0.293991
  31 0.305 2 0.195994
  32 0.315 2 1.26577
  33 0.325 4 1.46176
  34 0.335 0 0
  35 0.345 1 0.0979969
  36 0.355 2 0.195994
  37 0.365 3 1.36376
  38 0.375 0 0
  39 0.385 3 0.293991
  40 0.395 3 1.36376
  41 0.405 2 0.195994
  42 0.415 2 1.26577
  43 0.425 3 2.43353
  44 0.435 1 1.16777
  45 0.445 2 0.195994
  46 0.455 0 0
  47 0.465 1 1.16777
  48 0.475 0 0
  49 0.485 1 0.0979969
  50 0.495 0 0
  51 0.505 4 2.53153
  52 0.515 3 2.43353
  53 0.525 4 1.46176
  54 0.535 4 2.53153
  55 0.545 4 0.391988
  56 0.555 4 2.53153
  57 0.565 3 1.36376
  58 0.575 1 1.16777
  59 0.585 3 0.293991
  60 0.595 1 1.16777
  61 0.605 3 1.36376
  62 0.615 1 0.0979969
  63 0.625 1 0.0979969
  64 0.635 0 0
  65 0.645 3 1.36376
  66 0.655 1 0.0979969
  67 0.665 2 0.195994
  68 0.675 3 1.36376
  69 0.685 0 0
  70 0.695 2 1.26577
  71 0.705 3 3.50331
  72 0.715 0 0
  73 0.725 7 2.82552
  74 0.735 2 0.195994
  75 0.745 0 0
  76 0.755 4 0.391988
  77 0.765 1 0.0979969
  78 0.775 4 1.46176
  79 0.785 0 0
  80 0.795 0 0
  81 0.805 4 2.53153
  82 0.815 1 0.0979969
  83 0.825 2 1.26577
  84 0.835 2 1.26577
  85 0.845 2 0.195994
  86 0.855 0 0
  87 0.865 1 0.0979969
  88 0.875 2 1.26577
  89 0.885 2 1.26577
  90 0.895 2 1.26577
  91 0.905 2 1.26577
  92 0.915 1 0.0979969
  93 0.925 2 2.33554
  94 0.935 1 0.0979969
  95 0.945 5 2.62953
  96 0.955 1 0.0979969
  97 0.965 1 0.0979969
  98 0.975 2 0.195994
  99 0.985 1 0.0979969
  100 0.995 5 1.55976
500 100 186
  1 0.005 1 1.12585
  2 0.015 0 0
  3 0.025 2 0.188959
  4 0.035 1 0.0944794
  5 0.045 1 1.12585
  6 0.055 2 1.22033
  7 0.065 2 0.188959
  8 0.075 1 1.12585
  9 0.085 1 0.0944794
  10 0.095 1 0.0944794
  11 0.105 0 0
  12 0.115 4 0.377917
  13 0.125 0 0
  14 0.135 2 1.22033
  15 0.145 2 1.22033
  16 0.155 2 1.22033
  17 0.165 1 0.0944794
  18 0.175 4 2.44066
  19 0.185 3 3.37756
  20 0.195 2 0.188959
  21 0.205 3 0.283438
  22 0.215 1 1.12585
  23 0.225 1 1.12585
  24 0.235 1 0.0944794
  25 0.245 1 0.0944794
  26 0.255 3 2.34618
  27 0.265 1 0.0944794
  28 0.275 2 1.22033
  29 0.285 2 0.188959
  30 0.295 5 1.50377
  31 0.305 0 0
  32 0.315 1 0.0944794
  33 0.325 3 0.283438
  34 0.335 1 0.0944794
  35 0.345 1 1.12585
  36 0.355 1 0.0944794
  37 0.365 0 0
  38 0.375 1 0.0944794
  39 0.385 5 2.53514
  40 0.395 2 0.188959
  41 0.405 3 1.31481
  42 0.415 3 0.283438
  43 0.425 0 0
  44 0.435 2 1.22033
  45 0.445 3 2.34618
  46 0.455 1 1.12585
  47 0.465 2 0.188959
  48 0.475 1 0.0944794
  49 0.485 1 0.0944794
  50 0.495 2 0.188959
  51 0.505 5 4.59789
  52 0.515 2 1.22033
  53 0.525 2 1.22033
  54 0.535 2 1.22033
  55 0.545 2 1.22033
  56 0.555 1 0.0944794
  57 0.565 3 0.283438
  58 0.575 4 2.44066
  59 0.585 4 1.40929
  60 0.595 2 1.22033
  61 0.605 3 0.283438
  62 0.615 0 0
  63 0.625 0 0
  64 0.635 1 1.12585
  65 0.645 4 0.377917
  66 0.655 2 1.22033
  67 0.665 4 3.47204
  68 0.675 2 1.22033
  69 0.685 0 0
  70 0.695 4 1.40929
  71 0.705 2 0.188959
  72 0.715 2 0.188959
  73 0.725 3 2.34618
  74 0.735 1 0.0944794
  75 0.745 5 0.472397
  76 0.755 0 0
  77 0.765 0 0
  78 0.775 3 1.31481
  79 0.785 0 0
  80 0.795 4 1.40929
  81 0.805 3 2.34618
  82 0.815 2 0.188959
  83 0.825 2 0.188959
  84 0.835 1 0.0944794
  85 0.845 1 1.12585
  86 0.855 1 1.12585
  87 0.865 1 1.12585
  88 0.875 0 0
  89 0.885 1 1.12585
  90 0.895 2 1.22033
  91 0.905 5 3.56652
  92 0.915 0 0
  93 0.925 2 0.188959
  94 0.935 4 1.40929
  95 0.945 1 0.0944794
  96 0.955 2 0.188959
  97 0.965 2 0.188959
  98 0.975 1 0.0944794
  99 0.985 2 0.188959
  100 0.995 1 0.0944794
600 100 186
  1 0.005 1 0.0913688
  2 0.015 0 0
  3 0.025 2 1.18015
  4 0.035 0 0
  5 0.045 0 0
  6 0.055 1 1.08879
  7 0.065 0 0
  8 0.075 2 1.18015
  9 0.085 2 0.182738
  10 0.095 4 0.365475
  11 0.105 2 1.18015
  12 0.115 0 0
  13 0.125 2 0.182738
  14 0.135 2 0.182738
  15 0.145 0 0
  16 0.155 0 0
  17 0.165 3 3.26636
  18 0.175 2 1.18015
  19 0.185 6 2.54305
  20 0.195 3 2.26894
  21 0.205 1 0.0913688
  22 0.215 1 1.08879
  23 0.225 1 0.0913688
  24 0.235 1 1.08879
  25 0.245 1 1.08879
  26 0.255 5 1.45426
  27 0.265 2 1.18015
  28 0.275 2 0.182738
  29 0.285 2 0.182738
  30 0.295 2 1.18015
  31 0.305 3 0.274106
  32 0.315 0 0
  33 0.325 3 0.274106
  34 0.335 2 0.182738
  35 0.345 1 0.0913688
  36 0.355 1 1.08879
  37 0.365 1 0.0913688
  38 0.375 3 2.26894
  39 0.385 0 0
  40 0.395 0 0
  41 0.405 4 0.365475
  42 0.415 4 2.36031
  43 0.425 2 0.182738
  44 0.435 2 1.18015
  45 0.445 4 1.36289
  46 0.455 0 0
  47 0.465 3 1.27152
  48 0.475 1 0.0913688
  49 0.485 1 1.08879
  50 0.495 1 1.08879
  51 0.505 3 1.27152
  52 0.515 3 2.26894
  53 0.525 1 1.08879
  54 0.535 4 2.36031
  55 0.545 2 0.182738
  56 0.555 3 0.274106
  57 0.565 3 1.27152
  58 0.575 3 0.274106
  59 0.585 4 3.35773
  60 0.595 2 0.182738
  61 0.605 0 0
  62 0.615 0 0
  63 0.625 1 1.08879
  64 0.635 2 0.182738
  65 0.645 2 0.182738
  66 0.655 5 2.45168
  67 0.665 3 2.26894
  68 0.675 3 0.274106
  69 0.685 2 1.18015
  70 0.695 2 1.18015
  71 0.705 1 0.0913688
  72 0.715 3 1.27152
  73 0.725 1 0.0913688
  74 0.735 2 1.18015
  75 0.745 2 1.18015
  76 0.755 3 0.274106
  77 0.765 0 0
  78 0.775 1 0.0913688
  79 0.785 2 0.182738
  80 0.795 3 1.27152
  81 0.805 2 0.182738
  82 0.815 2 1.18015
  83 0.825 2 1.18015
  84 0.835 1 0.0913688
  85 0.845 4 3.35773
  86 0.855 1 0.0913688
  87 0.865 1 0.0913688
  88 0.875 0 0
  89 0.885 2 1.18015
  90 0.895 1 1.08879
  91 0.905 3 3.26636
  92 0.915 1 0.0913688
  93 0.925 2 0.182738
  94 0.935 2 1.18015
  95 0.945 1 0.0913688
  96 0.955 1 0.0913688
  97 0.965 2 0.182738
  98 0.975 0 0
  99 0.985 2 0.182738
  100 0.995 4 0.365475
700 100 186
  1 0.005 0 0
  2 0.015 1 0.0902097
  3 0.025 2 0.180419
  4 0.035 3 0.270629
  5 0.045 0 0
  6 0.055 0 0
  7 0.065 2 1.16518
  8 0.075 2 0.180419
  9 0.085 2 1.16518
  10 0.095 0 0
  11 0.105 1 0.0902097
  12 0.115 0 0
  13 0.125 5 2.42058
  14 0.135 1 0.0902097
  15 0.145 0 0
  16 0.155 2 1.16518
  17 0.165 4 1.3456
  18 0.175 4 2.33037
  19 0.185 3 3.22492
  20 0.195 3 1.25539
  21 0.205 0 0
  22 0.215 1 0.0902097
  23 0.225 2 0.180419
  24 0.235 3 2.24016
  25 0.245 2 1.16518
  26 0.255 2 0.180419
  27 0.265 3 2.24016
  28 0.275 4 0.360839
  29 0.285 3 1.25539
  30 0.295 0 0
  31 0.305 1 0.0902097
  32 0.315 1 0.0902097
  33 0.325 2 1.16518
  34 0.335 2 0.180419
  35 0.345 2 0.180419
  36 0.355 2 0.180419
  37 0.365 0 0
  38 0.375 2 1.16518
  39 0.385 3 1.25539
  40 0.395 4 2.33037
  41 0.405 3 0.270629
  42 0.415 0 0
  43 0.425 3 1.25539
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 3 2.24016
  47 0.465 4 1.3456
  48 0.475 3 1.25539
  49 0.485 1 1.07497
  50 0.495 2 2.14995
  51 0.505 5 1.43581
  52 0.515 2 1.16518
  53 0.525 3 0.270629
  54 0.535 2 1.16518
  55 0.545 0 0
  56 0.555 6 2.51078
  57 0.565 1 0.0902097
  58 0.575 2 1.16518
  59 0.585 0 0
  60 0.595 2 1.16518
  61 0.605 3 1.25539
  62 0.615 2 0.180419
  63 0.625 3 0.270629
  64 0.635 0 0
  65 0.645 2 0.180419
  66 0.655 3 2.24016
  67 0.665 2 1.16518
  68 0.675 4 2.33037
  69 0.685 0 0
  70 0.695 1 1.07497
  71 0.705 2 0.180419
  72 0.715 1 0.0902097
  73 0.725 4 2.33037
  74 0.735 2 0.180419
  75 0.745 3 1.25539
  76 0.755 2 0.180419
  77 0.765 2 0.180419
  78 0.775 0 0
  79 0.785 1 0.0902097
  80 0.795 0 0
  81 0.805 2 1.16518
