# Chunk-averaged data for fix ave_vx and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 4000
  3 0.125 202.48 -0.111022
  4 0.175 199.52 -0.160394
  5 0.225 195.44 -0.0264998
  6 0.275 198.24 -0.0259646
  7 0.325 199.1 0.0374263
  8 0.375 199.3 0.152648
  9 0.425 195.8 0.202097
  10 0.475 198.44 0.257944
  11 0.525 201.62 0.336424
  12 0.575 203.7 0.261873
  13 0.625 200.78 0.15061
  14 0.675 202.06 0.110756
  15 0.725 199.26 0.0667619
  16 0.775 202.62 -0.00753666
  17 0.825 197.78 -0.0685921
  18 0.875 198.1 -0.0763467
  19 0.925 196.76 -0.161235
  20 0.975 201.92 -0.275203
11000 20 4000
  1 0.025 201.5 -0.317438
  2 0.075 204.06 -0.191533
  3 0.125 203.16 -0.149788
  4 0.175 198.68 -0.173209
  5 0.225 201.98 -0.101084
  6 0.275 198.74 -0.0309939
  7 0.325 202.24 0.0799254
  8 0.375 200.28 0.10024
  9 0.425 198.5 0.200242
  10 0.475 200.6 0.251124
  11 0.525 201.24 0.35676
  12 0.575 201.58 0.243038
  13 0.625 196.36 0.080994
  14 0.675 200.36 0.0822162
  15 0.725 198.68 0.0864816
  16 0.775 202.74 0.0510283
  17 0.825 200.38 -0.0650596
  18 0.875 196.58 -0.124677
  19 0.925 193.6 -0.189993
  20 0.975 198.74 -0.192498
12000 20 4000
  1 0.025 200.86 -0.371534
  2 0.075 205.44 -0.244617
  3 0.125 203.74 -0.20362
  4 0.175 203.82 -0.145308
  5 0.225 198.74 -0.0797352
  6 0.275 199.94 0.0265697
  7 0.325 202.36 0.0844301
  8 0.375 201.6 0.11685
  9 0.425 200.74 0.25931
  10 0.475 198.94 0.308331
  11 0.525 201.58 0.36101
  12 0.575 195.88 0.272008
  13 0.625 194.28 0.178187
  14 0.675 197.46 0.0861597
  15 0.725 199.18 0.0350392
  16 0.775 196.9 -0.00852884
  17 0.825 197.1 -0.0808962
  18 0.875 200.44 -0.138924
  19 0.925 199.76 -0.169615
  20 0.975 201.24 -0.262523
13000 20 4000
  1 0.025 201.6 -0.350382
  2 0.075 200.1 -0.227956
  3 0.125 201.8 -0.135959
  4 0.175 203.52 -0.0728396
  5 0.225 199.24 -0.0696882
  6 0.275 198.18 0.0235268
  7 0.325 199.72 0.0833538
  8 0.375 199.02 0.141322
  9 0.425 205.18 0.18659
  10 0.475 199.48 0.276233
  11 0.525 200.48 0.376564
  12 0.575 198.4 0.198527
  13 0.625 196.68 0.116725
  14 0.675 196.06 0.0657738
  15 0.725 201.16 0.0193741
  16 0.775 201.06 0.00270203
  17 0.825 198.88 -0.0540657
  18 0.875 198.78 -0.126859
  19 0.925 197.12 -0.219601
  20 0.975 203.54 -0.227693
14000 20 4000
  1 0.025 199.84 -0.366502
  2 0.075 200.16 -0.233165
  3 0.125 198.48 -0.138134
  4 0.175 200.76 -0.0962904
  5 0.225 203.62 -0.0674154
  6 0.275 202.7 -0.0450508
  7 0.325 201.2 -0.0106372
  8 0.375 198.78 0.0656045
  9 0.425 198.22 0.157251
  10 0.475 199.62 0.244997
  11 0.525 199.96 0.33819
  12 0.575 193.58 0.201812
  13 0.625 198.98 0.20486
  14 0.675 197.8 0.184867
  15 0.725 202.6 0.110234
  16 0.775 203.7 0.0428658
  17 0.825 197.7 -0.0928962
  18 0.875 197.44 -0.117231
  19 0.925 202.98 -0.149526
  20 0.975 201.88 -0.221328
15000 20 4000
  1 0.025 204.98 -0.3457
  2 0.075 205.2 -0.251296
  3 0.125 201.4 -0.158592
  4 0.175 197.1 -0.090951
  5 0.225 197.48 -0.0395257
  6 0.275 194.88 0.0199602
  7 0.325 195.22 0.0117757
  8 0.375 204 0.0964991
  9 0.425 200.82 0.144975
  10 0.475 198.82 0.223411
  11 0.525 201.02 0.330787
  12 0.575 195.4 0.274848
  13 0.625 192.78 0.204018
  14 0.675 198.88 0.0264147
  15 0.725 200.9 0.0237644
  16 0.775 202.34 0.0208308
  17 0.825 204.68 -0.0455273
  18 0.875 200.46 -0.0713134
  19 0.925 200.54 -0.124706
  20 0.975 203.1 -0.218895
16000 20 4000
  1 0.025 201.86 -0.337138
  2 0.075 201 -0.263552
  3 0.125 196.58 -0.191332
  4 0.175 199.2 -0.103618
  5 0.225 193.24 -0.0384216
  6 0.275 197.4 -0.022403
  7 0.325 196.28 0.0842106
  8 0.375 200.5 0.141188
  9 0.425 202.86 0.179772
  10 0.475 201.1 0.242011
  11 0.525 199 0.347111
  12 0.575 199.28 0.236908
  13 0.625 201.54 0.208925
  14 0.675 200.02 0.089638
  15 0.725 199.7 0.0505425
  16 0.775 202.92 -0.0210768
  17 0.825 202.62 -0.053682
  18 0.875 202.94 -0.0977674
  19 0.925 200.94 -0.161618
  20 0.975 201.02 -0.287489
17000 20 4000
  1 0.025 197.88 -0.375715
  2 0.075 197.68 -0.238
  3 0.125 195.9 -0.144281
  4 0.175 198.22 -0.0762055
  5 0.225 205.22 -0.0121268
  6 0.275 203.82 0.025191
  7 0.325 201.68 0.0991545
  8 0.375 197.38 0.138886
  9 0.425 200.58 0.209979
  10 0.475 203.16 0.293188
  11 0.525 201.94 0.360964
  12 0.575 202.56 0.243929
  13 0.625 199.36 0.142282
  14 0.675 201.56 0.0520199
  15 0.725 195.72 0.0120041
  16 0.775 202.16 -0.0367756
  17 0.825 196.96 -0.0764427
  18 0.875 196.4 -0.134827
  19 0.925 202.84 -0.220543
  20 0.975 198.98 -0.28531
18000 20 4000
  1 0.025 203.44 -0.400321
  2 0.075 197.72 -0.32288
  3 0.125 195.42 -0.172502
  4 0.175 196.66 -0.0524058
  5 0.225 202.08 -0.00871773
  6 0.275 200.44 0.0274711
  7 0.325 201.02 0.0834525
  8 0.375 199.88 0.175893
  9 0.425 200.84 0.199703
  10 0.475 197.9 0.25322
  11 0.525 201.06 0.397989
  12 0.575 205.66 0.238451
  13 0.625 200 0.144293
  14 0.675 197.62 0.0903967
  15 0.725 199.98 0.00452747
  16 0.775 199.88 -0.0268961
  17 0.825 199.16 -0.0942487
  18 0.875 201.3 -0.111421
  19 0.925 197.4 -0.178829
  20 0.975 202.54 -0.253835
19000 20 4000
  1 0.025 202.74 -0.32247
