# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  1 0.005 2 0.237812
  2 0.015 1 1.41693
  3 0.025 1 0.118906
  4 0.035 3 2.95277
  5 0.045 2 1.53584
  6 0.055 1 1.41693
  7 0.065 4 0.475624
  8 0.075 1 0.118906
  9 0.085 4 1.77365
  10 0.095 2 0.237812
  11 0.105 1 0.118906
  12 0.115 1 1.41693
  13 0.125 1 0.118906
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 2 1.53584
  17 0.165 2 0.237812
  18 0.175 3 2.95277
  19 0.185 3 2.95277
  20 0.195 2 0.237812
  21 0.205 1 0.118906
  22 0.215 3 2.95277
  23 0.225 2 1.53584
  24 0.235 2 0.237812
  25 0.245 2 0.237812
  26 0.255 2 1.53584
  27 0.265 1 1.41693
  28 0.275 2 1.53584
  29 0.285 0 0
  30 0.295 1 0.118906
  31 0.305 4 0.475624
  32 0.315 2 1.53584
  33 0.325 3 0.356718
  34 0.335 1 1.41693
  35 0.345 1 0.118906
  36 0.355 3 1.65474
  37 0.365 0 0
  38 0.375 2 0.237812
  39 0.385 4 3.07167
  40 0.395 2 0.237812
  41 0.405 4 3.07167
  42 0.415 1 0.118906
  43 0.425 1 1.41693
  44 0.435 1 0.118906
  45 0.445 0 0
  46 0.455 4 1.77365
  47 0.465 3 1.65474
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 2 1.53584
  51 0.505 2 1.53584
  52 0.515 1 0.118906
  53 0.525 3 0.356718
  54 0.535 1 1.41693
  55 0.545 4 3.07167
  56 0.555 2 2.83386
  57 0.565 4 1.77365
  58 0.575 0 0
  59 0.585 4 1.77365
  60 0.595 2 0.237812
  61 0.605 2 0.237812
  62 0.615 1 0.118906
  63 0.625 1 1.41693
  64 0.635 2 1.53584
  65 0.645 3 1.65474
  66 0.655 1 0.118906
  67 0.665 1 1.41693
  68 0.675 1 0.118906
  69 0.685 1 0.118906
  70 0.695 1 1.41693
  71 0.705 1 0.118906
  72 0.715 3 0.356718
  73 0.725 2 2.83386
  74 0.735 4 1.77365
  75 0.745 3 0.356718
  76 0.755 3 2.95277
  77 0.765 1 1.41693
  78 0.775 1 0.118906
  79 0.785 1 0.118906
  80 0.795 2 0.237812
  81 0.805 2 0.237812
  82 0.815 1 1.41693
  83 0.825 4 1.77365
  84 0.835 1 1.41693
  85 0.845 2 0.237812
  86 0.855 3 0.356718
  87 0.865 0 0
  88 0.875 1 0.118906
  89 0.885 1 0.118906
  90 0.895 1 1.41693
  91 0.905 3 2.95277
  92 0.915 4 3.07167
  93 0.925 0 0
  94 0.935 4 1.77365
  95 0.945 0 0
  96 0.955 0 0
  97 0.965 3 1.65474
  98 0.975 2 1.53584
  99 0.985 2 1.53584
  100 0.995 4 0.475624
1000 100 186
  1 0.005 4 1.2535
  2 0.015 2 0.168071
  3 0.025 1 0.0840353
  4 0.035 0 0
  5 0.045 0 0
  6 0.055 1 0.0840353
  7 0.065 3 2.08683
  8 0.075 0 0
  9 0.085 4 0.336141
  10 0.095 4 2.17087
  11 0.105 0 0
  12 0.115 0 0
  13 0.125 4 1.2535
  14 0.135 2 0.168071
  15 0.145 3 1.16947
  16 0.155 1 1.0014
  17 0.165 2 0.168071
  18 0.175 4 3.08823
  19 0.185 2 0.168071
  20 0.195 0 0
  21 0.205 1 1.0014
  22 0.215 1 0.0840353
  23 0.225 2 1.08543
  24 0.235 1 1.0014
  25 0.245 3 0.252106
  26 0.255 1 1.0014
  27 0.265 2 0.168071
  28 0.275 1 1.0014
  29 0.285 5 1.33754
  30 0.295 2 2.00279
  31 0.305 0 0
  32 0.315 3 1.16947
  33 0.325 2 0.168071
  34 0.335 2 0.168071
  35 0.345 3 0.252106
  36 0.355 1 1.0014
  37 0.365 1 0.0840353
  38 0.375 0 0
  39 0.385 2 0.168071
  40 0.395 1 0.0840353
  41 0.405 1 1.0014
  42 0.415 4 1.2535
  43 0.425 4 1.2535
  44 0.435 2 1.08543
  45 0.445 2 1.08543
  46 0.455 1 0.0840353
  47 0.465 2 1.08543
  48 0.475 3 1.16947
  49 0.485 1 0.0840353
  50 0.495 5 2.2549
  51 0.505 8 3.42437
  52 0.515 2 1.08543
  53 0.525 3 1.16947
  54 0.535 2 1.08543
  55 0.545 1 0.0840353
  56 0.555 2 1.08543
  57 0.565 2 0.168071
  58 0.575 2 1.08543
  59 0.585 3 2.08683
  60 0.595 4 2.17087
  61 0.605 3 1.16947
  62 0.615 0 0
  63 0.625 2 0.168071
  64 0.635 3 2.08683
  65 0.645 1 0.0840353
  66 0.655 2 0.168071
  67 0.665 3 0.252106
  68 0.675 2 0.168071
  69 0.685 1 0.0840353
  70 0.695 0 0
  71 0.705 1 1.0014
  72 0.715 2 0.168071
  73 0.725 0 0
  74 0.735 1 0.0840353
  75 0.745 2 1.08543
  76 0.755 1 0.0840353
  77 0.765 2 2.00279
  78 0.775 3 0.252106
  79 0.785 3 1.16947
  80 0.795 1 1.0014
  81 0.805 1 0.0840353
  82 0.815 3 0.252106
  83 0.825 2 1.08543
  84 0.835 1 1.0014
  85 0.845 3 1.16947
  86 0.855 0 0
  87 0.865 1 0.0840353
  88 0.875 2 1.08543
  89 0.885 0 0
  90 0.895 1 0.0840353
  91 0.905 3 2.08683
  92 0.915 1 0.0840353
  93 0.925 2 1.08543
  94 0.935 2 1.08543
  95 0.945 1 0.0840353
  96 0.955 1 0.0840353
  97 0.965 0 0
  98 0.975 3 1.16947
  99 0.985 1 0.0840353
  100 0.995 0 0
2000 100 186
  1 0.005 3 0.245509
  2 0.015 1 0.0818364
  3 0.025 3 0.245509
  4 0.035 0 0
  5 0.045 2 1.05703
  6 0.055 0 0
  7 0.065 2 0.163673
  8 0.075 0 0
  9 0.085 1 0.975194
  10 0.095 1 0.0818364
  11 0.105 3 2.03222
  12 0.115 1 0.0818364
  13 0.125 0 0
  14 0.135 3 0.245509
  15 0.145 1 0.0818364
  16 0.155 1 0.0818364
  17 0.165 2 1.05703
  18 0.175 1 0.0818364
  19 0.185 1 0.975194
  20 0.195 2 1.95039
  21 0.205 2 1.05703
  22 0.215 1 0.0818364
  23 0.225 1 0.0818364
  24 0.235 2 0.163673
  25 0.245 2 0.163673
  26 0.255 1 0.0818364
  27 0.265 3 1.13887
  28 0.275 3 1.13887
  29 0.285 3 1.13887
  30 0.295 3 1.13887
  31 0.305 5 2.1959
  32 0.315 3 1.13887
  33 0.325 2 0.163673
  34 0.335 1 0.0818364
  35 0.345 2 1.95039
  36 0.355 3 2.03222
  37 0.365 2 1.05703
  38 0.375 3 1.13887
  39 0.385 2 0.163673
  40 0.395 5 1.30254
  41 0.405 3 1.13887
  42 0.415 6 2.27773
  43 0.425 3 2.03222
  44 0.435 1 0.0818364
  45 0.445 0 0
  46 0.455 4 2.11406
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 2 1.05703
  50 0.495 4 1.2207
  51 0.505 2 0.163673
  52 0.515 4 2.11406
  53 0.525 1 0.0818364
  54 0.535 2 1.05703
  55 0.545 1 0.0818364
  56 0.555 1 0.0818364
  57 0.565 3 0.245509
  58 0.575 1 0.0818364
  59 0.585 2 0.163673
  60 0.595 2 1.05703
  61 0.605 0 0
  62 0.615 4 2.11406
  63 0.625 0 0
  64 0.635 1 0.975194
  65 0.645 1 0.0818364
  66 0.655 1 0.0818364
  67 0.665 3 0.245509
  68 0.675 2 1.05703
  69 0.685 2 1.95039
  70 0.695 1 0.0818364
  71 0.705 1 0.0818364
  72 0.715 2 1.05703
  73 0.725 2 1.05703
  74 0.735 3 1.13887
  75 0.745 3 1.13887
  76 0.755 3 1.13887
  77 0.765 1 0.0818364
  78 0.775 1 0.0818364
  79 0.785 1 0.0818364
  80 0.795 1 0.0818364
  81 0.805 2 1.05703
  82 0.815 5 2.1959
  83 0.825 0 0
  84 0.835 3 1.13887
  85 0.845 3 1.13887
  86 0.855 0 0
  87 0.865 2 1.05703
  88 0.875 1 0.0818364
  89 0.885 3 0.245509
  90 0.895 1 0.0818364
  91 0.905 4 3.00742
  92 0.915 0 0
  93 0.925 0 0
  94 0.935 1 0.0818364
  95 0.945 1 0.0818364
  96 0.955 4 3.00742
  97 0.965 0 0
  98 0.975 1 0.0818364
  99 0.985 2 0.163673
  100 0.995 1 0.975194
3000 100 186
  1 0.005 3 1.26022
  2 0.015 2 0.181113
  3 0.025 0 0
  4 0.035 2 0.181113
  5 0.045 1 1.07911
  6 0.055 4 3.32787
  7 0.065 0 0
  8 0.075 5 1.44133
  9 0.085 2 0.181113
  10 0.095 2 1.16966
  11 0.105 1 0.0905565
  12 0.115 1 1.07911
  13 0.125 1 1.07911
  14 0.135 1 0.0905565
  15 0.145 2 2.15821
